delivery_id,Date,Exam Name,Score,Passed,Points Earned,Points Available,Duration,Form,Form ID,Form Version ID
b164e21e-d32e-4e65-97a9-c4adf8d15cfd,03:23.5,Game of Thrones Season 1,47.61904762,,10,21,460,Form B,2f1ec53a-57ac-40e2-87cd-20472f722a2a,40b439c2-ae86-4f84-abef-860e76bc194f
01cddaf2-628d-4cfe-bd89-89a7aee95b64,10:11.7,Game of Thrones Season 1,47.61904762,,10,21,723,Form B,2f1ec53a-57ac-40e2-87cd-20472f722a2a,40b439c2-ae86-4f84-abef-860e76bc194f
816301ab-6e8e-463c-997a-0d20af8cf9d7,54:49.5,Game of Thrones Season 1,4.761904762,,1,21,293,Form C,9f8d8210-48d2-4f0b-b0c0-f61c425cee7b,afe475f1-434d-4311-b19a-2e6877a36ca0
d55c5d42-b8f8-49be-936c-c7a0be8460b7,06:42.1,Game of Thrones Season 1,28.57142857,,6,21,708,Form B,2f1ec53a-57ac-40e2-87cd-20472f722a2a,40b439c2-ae86-4f84-abef-860e76bc194f
87f38ff7-50b7-4c21-af12-f9019fb2c0fa,01:54.6,Game of Thrones Season 1,9.523809524,,2,21,377,Form A,be88c53a-80a7-4227-82d1-c8b82c44983b,34099578-25cb-4d19-9fe6-a8322bcc95ae
26fafc50-b5ef-40ec-9fa4-6921c178d68c,09:17.3,Game of Thrones Season 1,71.42857143,,15,21,637,Form C,9f8d8210-48d2-4f0b-b0c0-f61c425cee7b,afe475f1-434d-4311-b19a-2e6877a36ca0
c5fcbbe3-f878-41af-8dd3-460422cfb3bb,18:17.5,Game of Thrones Season 1,47.61904762,,10,21,1091,Form B,2f1ec53a-57ac-40e2-87cd-20472f722a2a,40b439c2-ae86-4f84-abef-860e76bc194f
fea04f0d-f2cf-468e-8877-fbcdac6f064b,15:53.0,Game of Thrones Season 1,66.66666667,,14,21,684,Form A,be88c53a-80a7-4227-82d1-c8b82c44983b,34099578-25cb-4d19-9fe6-a8322bcc95ae
0bec8ecb-c905-495b-bb19-0ec7fe4d19b4,19:04.8,Game of Thrones Season 1,61.9047619,,13,21,664,Form A,be88c53a-80a7-4227-82d1-c8b82c44983b,34099578-25cb-4d19-9fe6-a8322bcc95ae
6af55e1d-94f1-4476-abb0-f1648c8ac919,17:47.4,Game of Thrones Season 1,38.0952381,,8,21,436,Form C,9f8d8210-48d2-4f0b-b0c0-f61c425cee7b,afe475f1-434d-4311-b19a-2e6877a36ca0
29871514-37c5-4f1e-819a-a1b9bd99afe3,47:30.5,Game of Thrones Season 1,52.38095238,,11,21,762,Form B,2f1ec53a-57ac-40e2-87cd-20472f722a2a,40b439c2-ae86-4f84-abef-860e76bc194f
49fccc37-0632-45b1-bbe0-578906edc302,28:19.3,Game of Thrones Season 1,71.42857143,,15,21,327,Form C,9f8d8210-48d2-4f0b-b0c0-f61c425cee7b,afe475f1-434d-4311-b19a-2e6877a36ca0
83512c02-2d59-44d1-a11b-9d0bb4f161b0,00:21.1,Game of Thrones Season 1,61.9047619,,13,21,524,Form C,9f8d8210-48d2-4f0b-b0c0-f61c425cee7b,afe475f1-434d-4311-b19a-2e6877a36ca0
b712a6ed-4247-4b2f-96de-7136d56fc208,20:41.3,Game of Thrones Season 1,47.61904762,,10,21,659,Form A,be88c53a-80a7-4227-82d1-c8b82c44983b,34099578-25cb-4d19-9fe6-a8322bcc95ae
fd2335e2-f39b-478e-8bd1-1f78475e588a,13:31.4,Game of Thrones Season 1,57.14285714,,12,21,933,Form A,be88c53a-80a7-4227-82d1-c8b82c44983b,34099578-25cb-4d19-9fe6-a8322bcc95ae
18060655-a7a8-465e-8d38-a2cd5bb87e5f,37:00.9,Game of Thrones Season 1,47.61904762,,10,21,417,Form C,9f8d8210-48d2-4f0b-b0c0-f61c425cee7b,afe475f1-434d-4311-b19a-2e6877a36ca0
1df9bfee-247b-4b0c-8083-b8e5382ff558,22:28.1,Game of Thrones Season 1,23.80952381,,5,21,605,Form C,9f8d8210-48d2-4f0b-b0c0-f61c425cee7b,afe475f1-434d-4311-b19a-2e6877a36ca0
d0515b6a-80f4-4de8-851a-41cd7f241545,43:13.5,Game of Thrones Season 1,47.61904762,,10,21,385,Form A,be88c53a-80a7-4227-82d1-c8b82c44983b,34099578-25cb-4d19-9fe6-a8322bcc95ae
1a17e1e3-4866-49a1-8ce4-08ae955c3356,01:19.3,Game of Thrones Season 1,47.61904762,,10,21,446,Form A,be88c53a-80a7-4227-82d1-c8b82c44983b,34099578-25cb-4d19-9fe6-a8322bcc95ae
b2e6776f-81c4-4950-be44-167c83144326,28:23.0,Game of Thrones Season 1,28.57142857,,6,21,480,Form A,be88c53a-80a7-4227-82d1-c8b82c44983b,34099578-25cb-4d19-9fe6-a8322bcc95ae
48e4f5a3-56b4-4aaa-bd91-770fc97e936b,21:32.7,Game of Thrones Season 1,71.42857143,,15,21,413,Form C,9f8d8210-48d2-4f0b-b0c0-f61c425cee7b,afe475f1-434d-4311-b19a-2e6877a36ca0
3e5c1898-2bd5-470a-bd16-826fcf156af1,40:42.9,Game of Thrones Season 1,47.61904762,,10,21,443,Form A,be88c53a-80a7-4227-82d1-c8b82c44983b,34099578-25cb-4d19-9fe6-a8322bcc95ae
0062f794-e5eb-4557-808e-a6e1af646421,45:10.9,Game of Thrones Season 1,47.61904762,,10,21,865,Form A,be88c53a-80a7-4227-82d1-c8b82c44983b,34099578-25cb-4d19-9fe6-a8322bcc95ae
53af65e4-25cc-440b-aef8-ae6bc6467db7,28:06.5,Game of Thrones Season 1,47.61904762,,10,21,534,Form B,2f1ec53a-57ac-40e2-87cd-20472f722a2a,40b439c2-ae86-4f84-abef-860e76bc194f
d83d6709-812a-4cec-9459-a77fab9ca8bf,57:43.2,Game of Thrones Season 1,42.85714286,,9,21,749,Form B,2f1ec53a-57ac-40e2-87cd-20472f722a2a,40b439c2-ae86-4f84-abef-860e76bc194f
a3b18fc8-5dc7-4a94-8f7e-e289dfce985d,57:36.5,Game of Thrones Season 1,52.38095238,,11,21,429,Form B,2f1ec53a-57ac-40e2-87cd-20472f722a2a,40b439c2-ae86-4f84-abef-860e76bc194f
e1d819f3-a89c-466b-a0f1-47ba4c79cfc1,33:10.8,Game of Thrones Season 1,38.0952381,,8,21,826,Form A,be88c53a-80a7-4227-82d1-c8b82c44983b,34099578-25cb-4d19-9fe6-a8322bcc95ae
bec6bd79-719d-4e17-884d-2a1db404ef5b,34:40.6,Game of Thrones Season 1,71.42857143,,15,21,505,Form C,9f8d8210-48d2-4f0b-b0c0-f61c425cee7b,afe475f1-434d-4311-b19a-2e6877a36ca0
113829db-70b4-416e-8cda-54ee196df839,35:49.2,Game of Thrones Season 1,42.85714286,,9,21,574,Form C,9f8d8210-48d2-4f0b-b0c0-f61c425cee7b,afe475f1-434d-4311-b19a-2e6877a36ca0
f9f57087-6469-4d0b-ab03-3b658c9fcbd1,37:02.6,Game of Thrones Season 1,76.19047619,,16,21,362,Form B,2f1ec53a-57ac-40e2-87cd-20472f722a2a,40b439c2-ae86-4f84-abef-860e76bc194f
75948b91-5d1e-4769-a8ea-30b04a37b147,52:37.7,Game of Thrones Season 1,33.33333333,,7,21,512,Form C,9f8d8210-48d2-4f0b-b0c0-f61c425cee7b,afe475f1-434d-4311-b19a-2e6877a36ca0
cdf51b5b-30ce-473e-a961-53f6641ec3cb,57:52.8,Game of Thrones Season 1,42.85714286,,9,21,394,Form B,2f1ec53a-57ac-40e2-87cd-20472f722a2a,40b439c2-ae86-4f84-abef-860e76bc194f
644a5dee-17d6-470a-b9bf-9711ede6ca75,32:38.0,Game of Thrones Season 1,38.0952381,,8,21,608,Form C,9f8d8210-48d2-4f0b-b0c0-f61c425cee7b,afe475f1-434d-4311-b19a-2e6877a36ca0
732b1b98-b7e7-4d35-8895-3faff31886b5,07:55.1,Game of Thrones Season 1,52.38095238,,11,21,715,Form B,2f1ec53a-57ac-40e2-87cd-20472f722a2a,40b439c2-ae86-4f84-abef-860e76bc194f
d6b81d42-e113-4abb-bfae-5d4583e4f113,31:49.7,Game of Thrones Season 1,23.80952381,,5,21,323,Form B,2f1ec53a-57ac-40e2-87cd-20472f722a2a,40b439c2-ae86-4f84-abef-860e76bc194f
4e3393dd-cd81-4daf-bcc6-53c5de0d67cd,12:07.7,Game of Thrones Season 1,76.19047619,,16,21,477,Form A,be88c53a-80a7-4227-82d1-c8b82c44983b,34099578-25cb-4d19-9fe6-a8322bcc95ae
31713849-d3df-48d5-a306-cc3ff0c1d98f,49:07.0,Game of Thrones Season 1,38.0952381,,8,21,550,Form A,be88c53a-80a7-4227-82d1-c8b82c44983b,34099578-25cb-4d19-9fe6-a8322bcc95ae
